Variable L: j, s
34930601, 45, 6
9038408, 45, 7
38755667, 45, 8
6835574, 45, 9
18966035, 45, 10
358680460, 45, 11
20602732, 45, 12
10457233, 45, 13
9067540, 45, 14
9050642, 45, 15
33746849, 45, 16
27137357, 45, 17
18984116, 45, 18
9886970, 45, 19
11742038, 46, 1
21891223, 46, 2
17945274, 46, 3
9967633, 46, 4
9594900, 46, 5
30181494, 46, 6
10988419, 46, 7
23125232, 46, 8
29344848, 46, 9
25915401, 46, 10
7714827, 46, 11
19610658, 46, 12
13289973, 46, 13
41772289, 46, 14
7116789, 46, 15
16501666, 46, 16
31922154, 46, 17
31118583, 46, 18
9011836, 46, 19
13409728, 47, 1
18375540, 47, 2
21799538, 47, 3
4888606, 47, 4
15874744, 47, 5
15072411, 47, 6
10903710, 47, 7
37249500, 47, 8
21172100, 47, 9
16940705, 47, 10
20898353, 47, 11
25998140, 47, 12
10461766, 47, 13
12715738, 47, 14
8878053, 47, 15
5971942, 47, 16
9695767, 47, 17
13551112, 47, 18
11651495, 47, 19
23430748, 48, 1
8295567, 48, 2
15047307, 48, 3
28230493, 48, 4
18779370, 48, 5
12599968, 48, 6
10197833, 48, 7
32261887, 48, 8
16212894, 48, 9
23023164, 48, 10
10371463, 48, 11
23485383, 48, 12
22999056, 48, 13
10443504, 48, 14
9137827, 48, 15
6272392, 48, 16
12137093, 48, 17
12009358, 48, 18
25034915, 48, 19
8762829, 49, 1
5306753, 49, 2
33261276, 49, 3
18563905, 49, 4
15272214, 49, 5
439931950, 49, 6
8211445, 49, 7
14061225, 49, 8
24517828, 49, 9
35850157, 49, 10
20537062, 49, 11
26196970, 49, 12
7523032, 49, 13
96388413, 49, 14
13099649, 49, 15
20217760, 49, 16
22274263, 49, 17
18927143, 49, 18
16383255, 49, 19
13447558, 50, 1
11770777, 50, 2
16719078, 50, 3
9134227, 50, 4
20115401, 50, 5
13558158, 50, 6
16823549, 50, 7
11561752, 50, 8
24461615, 50, 9
21408866, 50, 10
40730211, 50, 11
11606581, 50, 12
19322312, 50, 13
21562843, 50, 14
16893631, 50, 15
8158867, 50, 16
32780762, 50, 17
16396730, 50, 18
13609157, 50, 19
20150955, 51, 1
25794889, 51, 2
9035177, 51, 3
16060814, 51, 4
20367145, 51, 5
11125855, 51, 6
439931950, 51, 7
22226737, 51, 8
21550700, 51, 9
9574543, 51, 10
39241447, 51, 11
8544832, 51, 12
9215166, 51, 13
6706813, 51, 14
18416602, 51, 15
9196353, 51, 16
11761398, 51, 17
9629505, 51, 18
9290677, 51, 19
21434872, 52, 1
17771804, 52, 2
20657425, 52, 3
12585296, 52, 4
47264566, 52, 5
19391325, 52, 6
18667689, 52, 7
14742112, 52, 8
19055098, 52, 9
19349606, 52, 10
19575243, 52, 11
16627777, 52, 12
15374781, 52, 13
25154661, 52, 14
9905770, 52, 15
21538960, 52, 16
4473078, 52, 17
16897678, 52, 18
18303071, 52, 19
13335664, 53, 1
24375654, 53, 2
7880834, 53, 3
26710916, 53, 4
13687070, 53, 5
6720915, 53, 6
23368549, 53, 7
10898735, 53, 8
17215049, 53, 9
21025940, 53, 10
10191036, 53, 11
33395840, 53, 12
7087549, 53, 13
19042976, 53, 14
17351810, 53, 15
19263769, 53, 16
29654176, 53, 17
14335161, 53, 18
23975396, 53, 19
6404356, 54, 1
14435153, 54, 2
15535151, 54, 3
11217771, 54, 4
18337809, 54, 5
17069004, 54, 6
19703607, 54, 7
23006542, 54, 8
22788783, 54, 9
12269739, 54, 10
10863659, 54, 11
15380758, 54, 12
439931950, 54, 13
10751814, 54, 14
17875436, 54, 15
17571487, 54, 16
5814021, 54, 17
23101070, 54, 18
20680788, 54, 19
26097865, 55, 1
15282422, 55, 2
35583433, 55, 3
17174123, 55, 4
16905312, 55, 5
16861975, 55, 6
17743797, 55, 7
12217147, 55, 8
38282746, 55, 9
5559570, 55, 10
28405316, 55, 11
439931950, 55, 12
27777452, 55, 13
26979216, 55, 14
12863767, 55, 15
7159025, 55, 16
6225413, 55, 17
19019150, 55, 18
14930954, 55, 19
10621466, 56, 1
22548581, 56, 2
34942860, 56, 3
9550431, 56, 4
36470235, 56, 5
43587416, 56, 6
16711135, 56, 7
31596818, 56, 8
17510506, 56, 9
19969356, 56, 10
32608495, 56, 11
