Variable QN: i, j, s
1000000, Acelga Fresca, 21, 2
1000000, Acelga Fresca, 21, 3
0, Acelga Fresca, 21, 4
0, Acelga Fresca, 21, 5
0, Acelga Fresca, 21, 6
1000000, Acelga Fresca, 21, 7
0, Acelga Fresca, 21, 8
0, Acelga Fresca, 21, 9
1000000, Acelga Fresca, 21, 10
0, Acelga Fresca, 21, 11
0, Acelga Fresca, 21, 12
1000000, Acelga Fresca, 21, 13
0, Acelga Fresca, 21, 14
0, Acelga Fresca, 21, 15
0, Acelga Fresca, 21, 16
0, Acelga Fresca, 21, 17
0, Acelga Fresca, 21, 18
0, Acelga Fresca, 21, 19
1000000, Acelga Fresca, 22, 1
0, Acelga Fresca, 22, 2
64477, Acelga Fresca, 22, 3
0, Acelga Fresca, 22, 4
0, Acelga Fresca, 22, 5
64477, Acelga Fresca, 22, 6
1000000, Acelga Fresca, 22, 7
0, Acelga Fresca, 22, 8
0, Acelga Fresca, 22, 9
0, Acelga Fresca, 22, 10
0, Acelga Fresca, 22, 11
0, Acelga Fresca, 22, 12
1000000, Acelga Fresca, 22, 13
0, Acelga Fresca, 22, 14
0, Acelga Fresca, 22, 15
0, Acelga Fresca, 22, 16
0, Acelga Fresca, 22, 17
0, Acelga Fresca, 22, 18
0, Acelga Fresca, 22, 19
0, Acelga Fresca, 23, 1
0, Acelga Fresca, 23, 2
0, Acelga Fresca, 23, 3
0, Acelga Fresca, 23, 4
0, Acelga Fresca, 23, 5
0, Acelga Fresca, 23, 6
0, Acelga Fresca, 23, 7
1000000, Acelga Fresca, 23, 8
0, Acelga Fresca, 23, 9
1000000, Acelga Fresca, 23, 10
0, Acelga Fresca, 23, 11
0, Acelga Fresca, 23, 12
1000000, Acelga Fresca, 23, 13
1000000, Acelga Fresca, 23, 14
0, Acelga Fresca, 23, 15
0, Acelga Fresca, 23, 16
0, Acelga Fresca, 23, 17
0, Acelga Fresca, 23, 18
0, Acelga Fresca, 23, 19
0, Acelga Fresca, 24, 1
0, Acelga Fresca, 24, 2
64477, Acelga Fresca, 24, 3
0, Acelga Fresca, 24, 4
1000000, Acelga Fresca, 24, 5
0, Acelga Fresca, 24, 6
0, Acelga Fresca, 24, 7
0, Acelga Fresca, 24, 8
0, Acelga Fresca, 24, 9
1000000, Acelga Fresca, 24, 10
0, Acelga Fresca, 24, 11
0, Acelga Fresca, 24, 12
1000000, Acelga Fresca, 24, 13
0, Acelga Fresca, 24, 14
0, Acelga Fresca, 24, 15
0, Acelga Fresca, 24, 16
0, Acelga Fresca, 24, 17
0, Acelga Fresca, 24, 18
0, Acelga Fresca, 24, 19
0, Acelga Fresca, 25, 1
64477, Acelga Fresca, 25, 2
64477, Acelga Fresca, 25, 3
0, Acelga Fresca, 25, 4
64477, Acelga Fresca, 25, 5
0, Acelga Fresca, 25, 6
0, Acelga Fresca, 25, 7
0, Acelga Fresca, 25, 8
0, Acelga Fresca, 25, 9
0, Acelga Fresca, 25, 10
0, Acelga Fresca, 25, 11
0, Acelga Fresca, 25, 12
1000000, Acelga Fresca, 25, 13
0, Acelga Fresca, 25, 14
0, Acelga Fresca, 25, 15
0, Acelga Fresca, 25, 16
2000000, Acelga Fresca, 25, 17
0, Acelga Fresca, 25, 18
0, Acelga Fresca, 25, 19
0, Acelga Fresca, 26, 1
0, Acelga Fresca, 26, 2
0, Acelga Fresca, 26, 3
0, Acelga Fresca, 26, 4
1000000, Acelga Fresca, 26, 5
0, Acelga Fresca, 26, 6
0, Acelga Fresca, 26, 7
1000000, Acelga Fresca, 26, 8
0, Acelga Fresca, 26, 9
1000000, Acelga Fresca, 26, 10
0, Acelga Fresca, 26, 11
0, Acelga Fresca, 26, 12
1000000, Acelga Fresca, 26, 13
0, Acelga Fresca, 26, 14
1000000, Acelga Fresca, 26, 15
0, Acelga Fresca, 26, 16
0, Acelga Fresca, 26, 17
0, Acelga Fresca, 26, 18
1000000, Acelga Fresca, 26, 19
0, Acelga Fresca, 27, 1
0, Acelga Fresca, 27, 2
0, Acelga Fresca, 27, 3
0, Acelga Fresca, 27, 4
0, Acelga Fresca, 27, 5
0, Acelga Fresca, 27, 6
0, Acelga Fresca, 27, 7
0, Acelga Fresca, 27, 8
0, Acelga Fresca, 27, 9
0, Acelga Fresca, 27, 10
0, Acelga Fresca, 27, 11
0, Acelga Fresca, 27, 12
0, Acelga Fresca, 27, 13
1000000, Acelga Fresca, 27, 14
0, Acelga Fresca, 27, 15
0, Acelga Fresca, 27, 16
1064477, Acelga Fresca, 27, 17
0, Acelga Fresca, 27, 18
0, Acelga Fresca, 27, 19
0, Acelga Fresca, 28, 1
0, Acelga Fresca, 28, 2
0, Acelga Fresca, 28, 3
0, Acelga Fresca, 28, 4
0, Acelga Fresca, 28, 5
0, Acelga Fresca, 28, 6
1000000, Acelga Fresca, 28, 7
0, Acelga Fresca, 28, 8
0, Acelga Fresca, 28, 9
0, Acelga Fresca, 28, 10
0, Acelga Fresca, 28, 11
0, Acelga Fresca, 28, 12
1000000, Acelga Fresca, 28, 13
0, Acelga Fresca, 28, 14
1000000, Acelga Fresca, 28, 15
0, Acelga Fresca, 28, 16
0, Acelga Fresca, 28, 17
0, Acelga Fresca, 28, 18
0, Acelga Fresca, 28, 19
0, Acelga Fresca, 29, 1
0, Acelga Fresca, 29, 2
64477, Acelga Fresca, 29, 3
0, Acelga Fresca, 29, 4
0, Acelga Fresca, 29, 5
0, Acelga Fresca, 29, 6
0, Acelga Fresca, 29, 7
0, Acelga Fresca, 29, 8
0, Acelga Fresca, 29, 9
0, Acelga Fresca, 29, 10
0, Acelga Fresca, 29, 11
0, Acelga Fresca, 29, 12
0, Acelga Fresca, 29, 13
0, Acelga Fresca, 29, 14
64477, Acelga Fresca, 29, 15
0, Acelga Fresca, 29, 16
1000000, Acelga Fresca, 29, 17
0, Acelga Fresca, 29, 18
64477, Acelga Fresca, 29, 19
0, Acelga Fresca, 30, 1
0, Acelga Fresca, 30, 2
1000000, Acelga Fresca, 30, 3
1000000, Acelga Fresca, 30, 4
0, Acelga Fresca, 30, 5
0, Acelga Fresca, 30, 6
0, Acelga Fresca, 30, 7
1000000, Acelga Fresca, 30, 8
0, Acelga Fresca, 30, 9
0, Acelga Fresca, 30, 10
0, Acelga Fresca, 30, 11
0, Acelga Fresca, 30, 12
1000000, Acelga Fresca, 30, 13
0, Acelga Fresca, 30, 14
0, Acelga Fresca, 30, 15
0, Acelga Fresca, 30, 16
863677, Acelga Fresca, 30, 17
0, Acelga Fresca, 30, 18
0, Acelga Fresca, 30, 19
0, Acelga Fresca, 31, 1
0, Acelga Fresca, 31, 2
64477, Acelga Fresca, 31, 3
0, Acelga Fresca, 31, 4
1000000, Acelga Fresca, 31, 5
0, Acelga Fresca, 31, 6
0, Acelga Fresca, 31, 7
0, Acelga Fresca, 31, 8
0, Acelga Fresca, 31, 9
0, Acelga Fresca, 31, 10
0, Acelga Fresca, 31, 11
0, Acelga Fresca, 31, 12
0, Acelga Fresca, 31, 13
0, Acelga Fresca, 31, 14
0, Acelga Fresca, 31, 15
0, Acelga Fresca, 31, 16
43773, Acelga Fresca, 31, 17
0, Acelga Fresca, 31, 18
0, Acelga Fresca, 31, 19
0, Acelga Fresca, 32, 1
1000000, Acelga Fresca, 32, 2
0, Acelga Fresca, 32, 3
0, Acelga Fresca, 32, 4
0, Acelga Fresca, 32, 5
0, Acelga Fresca, 32, 6
0, Acelga Fresca, 32, 7
0, Acelga Fresca, 32, 8
0, Acelga Fresca, 32, 9
1000000, Acelga Fresca, 32, 10
0, Acelga Fresca, 32, 11
0, Acelga Fresca, 32, 12
64477, Acelga Fresca, 32, 13
0, Acelga Fresca, 32, 14
0, Acelga Fresca, 32, 15
0, Acelga Fresca, 32, 16
0, Acelga Fresca, 32, 17
0, Acelga Fresca, 32, 18
0, Acelga Fresca, 32, 19
0, Acelga Fresca, 33, 1
0, Acelga Fresca, 33, 2
2000000, Acelga Fresca, 33, 3
0, Acelga Fresca, 33, 4
0, Acelga Fresca, 33, 5
1000000, Acelga Fresca, 33, 6
0, Acelga Fresca, 33, 7
0, Acelga Fresca, 33, 8
0, Acelga Fresca, 33, 9
0, Acelga Fresca, 33, 10
0, Acelga Fresca, 33, 11
0, Acelga Fresca, 33, 12
1000000, Acelga Fresca, 33, 13
0, Acelga Fresca, 33, 14
1000000, Acelga Fresca, 33, 15
0, Acelga Fresca, 33, 16
0, Acelga Fresca, 33, 17
1000000, Acelga Fresca, 33, 18
1000000, Acelga Fresca, 33, 19
0, Acelga Fresca, 34, 1
